name,latitude,longitude,reference_code
Pórtico,-34.6056798,-70.9831236,
Pórtico,-34.7143207,-71.0305636,
Pórtico,-34.403547,-70.8733647,
Pórtico,-34.4000114,-70.8717459,
Pórtico,-41.3163233,-73.0107404,
Pórtico,-33.7230845,-70.4919664,
Pórtico,-36.7283273,-72.8656445,
Peaje Lateral Rafael,-36.7284135,-72.8653823,
Pórtico,-38.5470383,-72.4576881,
Púa,-38.3628123,-72.3860188,
Pórtico,-39.4804051,-72.8063395,
Pórtico,-39.4423023,-72.7714814,
Pórtico,-39.4803649,-72.806531,
Peaje de la Unión,-40.2281586,-72.9387108,
Peaje de la Unión,-40.2281056,-72.9388613,
Pórtico,-40.413107,-73.0017136,
Pórtico,-40.9590927,-73.1338599,
Pórtico,-40.9591174,-73.1339967,
Pórtico,-41.0091428,-73.1203322,
Pórtico,-35.0955768,-71.3196019,
Pórtico,-35.093077,-71.3181118,
Pórtico,-34.1839305,-70.7884345,
Pórtico,-34.3466703,-70.8407249,
Pórtico,-34.281973,-70.8186788,
Pórtico,-34.3459699,-70.8407553,
Pórtico,-34.2889863,-70.8219051,
Pórtico,-37.7042233,-72.2574727,
Peaje Troncal Las Raíces,-38.5583616,-71.4977345,
Toll Booth Rio Bueno,-40.3221367,-72.9867863,
Peaje Lateral Las Cruces,-33.4729639,-71.5992211,
Peaje Puerto Oscuro,-31.4201452,-71.5707088,
Peaje Puerto Oscuro,-31.4201993,-71.5708345,
Pórtico,-32.9013035,-71.2458149,
Pórtico,-32.902746,-71.2493956,
Pórtico,-40.9014005,-73.1522459,
Peaje Pichidangui,-32.1749622,-71.5206745,
Peaje Pichidangui,-32.1749,-71.5210058,
Pórtico,-35.2097346,-71.4112065,
Pórtico,-35.694987,-71.6861696,
Pórtico,-20.4955947,-70.1617172,
Pórtico,-38.5223505,-72.4562621,
Pórtico,-35.1334373,-71.3546897,
Pórtico,-36.7477844,-72.2854257,
Pórtico,-39.3593342,-72.6209284,
Peaje Lateral Laja,-37.1738779,-72.3916537,
Pórtico,-41.4384549,-72.9566338,
Pórtico,-38.2379562,-72.3559126,
Pórtico,-35.8371078,-71.6318513,
Peaje Troncal Ruta 1,-23.3105635,-70.4190548,
Peaje Troncal Ruta 1,-23.3106054,-70.4189837,
Pórtico,-38.2511174,-72.3591274,
Peaje Puerto Viejo,-27.3481742,-70.6363754,
